Material,Su,Sy,E,G,mu,Ro,Use
GOST Steel 35 GOST 1050-88 Annealing or high tempering,470,310,206000,79000,0.3,7826,True
GOST Steel 35 GOST 1050-88 Quenched and tempered,625,315,206000,79000,0.3,7826,False
GOST Steel 40 GOST 1050-88 normalized,570,335,212000,82000,0.29,7850,False
GOST Steel 40 GOST 1050-88 Improved,700,400,212000,82000,0.29,7850,False
GOST Steel 40 GOST 1050-88 Quenching and cooling in the water,1000,650,212000,82000,0.29,7850,False
GOST Steel 40 GOST 1050-88 Cold working,610,380,212000,82000,0.29,7850,False
GOST Steel 40 GOST 1050-88 Annealing or high tempering,510,330,212000,82000,0.29,7850,False
GOST Steel 40 GOST 1050-88 Quenched and tempered,675,355,212000,82000,0.29,7850,False
GOST Steel 45 GOST 1050-88 normalized,600,355,200000,77000,0.3,7810,False
GOST Steel 45 GOST 1050-88 Improved,750,450,200000,77000,0.3,7810,False
GOST Steel 45 GOST 1050-88 Quenching and cooling in the oil,900,650,200000,77000,0.3,7810,False
GOST Steel 45 GOST 1050-88 Quenching and cooling in the water,1000,700,200000,77000,0.3,7810,False
GOST Steel 45 GOST 1050-88 Quenching and cooling in the water,1200,950,200000,77000,0.3,7810,False
GOST Steel 45 GOST 1050-88 Quenching and heating,750,450,200000,77000,0.3,7810,False
GOST Steel 45 GOST 1050-88 Cold working,640,440,200000,77000,0.3,7810,False
GOST Steel 45 GOST 1050-88 Annealing or high tempering,540,350,200000,77000,0.3,7810,False
GOST Steel 45 GOST 1050-88 Quenched and tempered,705,375,200000,77000,0.3,7810,False
GOST Steel 50 GOST 1050-88 normalized,600,355,216000,83000,0.3,7810,False
GOST Steel 50 GOST 1050-88 Improved,900,700,216000,83000,0.3,7810,False
GOST Steel 50 GOST 1050-88 Cold working,660,450,216000,83000,0.3,7810,False
GOST Steel 50 GOST 1050-88 Annealing or high tempering,560,370,216000,83000,0.3,7810,False
GOST Steel 50 GOST 1050-88 Quenched and tempered,725,400,216000,83000,0.3,7810,False
GOST Steel 55 GOST 1050-88 normalized,630,375,210000,81000,0.3,7820,False
GOST Steel 55 GOST 1050-88 Quenched and tempered,775,420,210000,81000,0.3,7820,False
GOST Steel 60 GOST 1050-88 normalized,680,400,204000,79000,0.29,7810,False
GOST Steel 60 GOST 1050-88 Quenched and tempered,825,450,204000,79000,0.29,7810,False
GOST Steel 20G GOST 1050-88 normalized,460,280,204000,79000,0.29,7820,True
GOST Steel 20G GOST 1050-88 Quenching and cooling in the water,570,420,204000,79000,0.29,7820,False
GOST Steel 30G GOST 1050-88 normalized,550,320,200000,77000,0.3,7810,False
GOST Steel 30G GOST 1050-88 Quenching and cooling in the water,680,560,200000,77000,0.3,7810,False
GOST Steel 40G GOST 1050-88 normalized,600,360,204000,79000,0.29,7810,False
GOST Steel 40G GOST 1050-88 Quenching and cooling in the water,840,590,204000,79000,0.29,7810,False
GOST Steel 50G GOST 1050-88 normalized,660,400,216000,84000,0.29,7810,False
GOST Steel 50G GOST 1050-88 Quenching and cooling in the water,820,560,216000,84000,0.29,7810,False
GOST Steel 65G GOST 1050-88 normalized,750,440,215000,83000,0.3,7850,False
GOST Steel 65G GOST 1050-88 Improved,900,700,215000,83000,0.3,7850,False
GOST Steel 65G GOST 1050-88 Quenching and cooling in the water,1500,1250,215000,83000,0.3,7850,False
GOST Steel A11 GOST 1414-75 ,490,390,216000,83000,0.3,7860,False
GOST Steel A12 GOST 1414-75 ,510,390,216000,83000,0.3,7860,False
GOST Steel A12 GOST 1414-75 ,460,390,216000,83000,0.3,7860,False
GOST Steel A20 GOST 1414-75 ,530,390,216000,83000,0.3,7860,False
GOST Steel A30 GOST 1414-75 ,540,390,216000,83000,0.3,7860,False
GOST Steel A35 GOST 1414-75 ,570,390,216000,83000,0.3,7860,False
GOST Steel 15Ch GOST 4543-71 ,690,490,206000,80000,0.29,7860,False
GOST Steel 20Ch GOST 4543-71 ,780,635,216000,83000,0.3,7830,False
GOST Steel 20Ch GOST 4543-71 normalized,600,300,216000,83000,0.3,7830,False
GOST Steel 20Ch GOST 4543-71 Improved,700,500,216000,83000,0.3,7830,False
GOST Steel 20Ch GOST 4543-71 Quenching and cooling in the oil,850,630,216000,83000,0.3,7830,False
GOST Steel 30Ch GOST 4543-71 ,880,685,208000,80000,0.3,7820,False
GOST Steel 35Ch GOST 4543-71 ,910,735,214000,83000,0.29,7850,False
GOST Steel 40Ch GOST 4543-71 ,980,785,214000,83000,0.29,7850,False
GOST Steel 40Ch GOST 4543-71 normalized,630,330,214000,83000,0.29,7850,False
GOST Steel 40Ch GOST 4543-71 Improved,800,650,214000,83000,0.29,7850,False
GOST Steel 40Ch GOST 4543-71 Quenching and cooling in the oil,1100,900,214000,83000,0.29,7850,False
GOST Steel 40Ch GOST 4543-71 Quenching and cooling in the oil,1300,1100,214000,83000,0.29,7850,False
GOST Steel 45Ch GOST 4543-71 ,1030,835,206000,79000,0.3,7820,False
GOST Steel 45Ch GOST 4543-71 normalized,650,350,206000,79000,0.3,7820,False
GOST Steel 45Ch GOST 4543-71 Improved,950,750,206000,79000,0.3,7820,False
GOST Steel 45Ch GOST 4543-71 Quenching and cooling in the oil,1400,1200,206000,79000,0.3,7820,False
GOST Steel 50Ch GOST 4543-71 ,1080,885,207000,80000,0.29,7860,False
GOST Steel 50Ch GOST 4543-71 normalized,650,350,207000,80000,0.29,7860,False
GOST Steel 50Ch GOST 4543-71 Quenching and cooling in the oil,1500,1300,207000,80000,0.29,7860,False
GOST Steel 10G2 GOST 4543-71 normalized,430,250,204000,79000,0.29,7790,False
GOST Steel 35G2 GOST 4543-71 normalized,630,370,204000,79000,0.29,7790,False
GOST Steel 35G2 GOST 4543-71 Quenching and cooling in the water,800,650,204000,79000,0.29,7790,False
GOST Steel 40G2 GOST 4543-71 normalized,670,390,212000,82000,0.29,7800,False
GOST Steel 40G2 GOST 4543-71 Quenching and cooling in the oil,1120,950,212000,82000,0.29,7800,False
GOST Steel 45G2 GOST 4543-71 normalized,700,410,204000,79000,0.29,7810,False
GOST Steel 45G2 GOST 4543-71 Quenching and cooling in the oil,850,700,204000,79000,0.29,7810,False
GOST Steel 33ChS GOST 4543-71 normalized,600,300,214000,83000,0.29,7640,False
GOST Steel 33ChS GOST 4543-71 Quenching and cooling in the oil,900,700,214000,83000,0.29,7640,False
GOST Steel 38ChS GOST 4543-71 Improved,950,750,211000,82000,0.29,7640,False
GOST Steel 30ChMA GOST 4543-71 ,930,735,208000,80000,0.3,7820,False
GOST Steel 30ChM GOST 4543-71 Quenching and cooling in the oil,950,750,208000,80000,0.3,7820,False
GOST Steel 35ChM GOST 4543-71 ,930,835,213000,82000,0.3,7820,False
GOST Steel 35ChM GOST 4543-71 Quenching and cooling in the oil,1000,850,213000,82000,0.3,7820,False
GOST Steel 35ChM GOST 4543-71 Quenching and cooling in the oil,1600,1400,213000,82000,0.3,7820,False
GOST Steel 18ChG GOST 4543-71 Quenching and cooling in the oil,800,735,213000,82000,0.3,7820,False
GOST Steel 18ChGT GOST 4543-71 normalized,700,430,211000,82000,0.29,7800,False
"GOST Steel 18ChGT GOST 4543-71 Case hardening,quenching and cooling in the oil",1000,800,211000,82000,0.29,7800,False
GOST Steel 30ChGT GOST 4543-71 Quenching and cooling in the oil,1250,1050,212000,82000,0.29,7800,False
"GOST Steel 30ChGT GOST 4543-71 Case hardening,quenching and cooling in the oil",1100,800,212000,82000,0.29,7800,False
GOST Steel 20ChGSA GOST 4543-71 ,780,635,213000,82000,0.3,7760,False
GOST Steel 20ChGSA GOST 4543-71 Quenching and cooling in the oil,800,650,213000,82000,0.3,7760,False
GOST Steel 20ChGNR GOST 4543-71 Quenching and cooling in the oil,1300,1200,213000,82000,0.3,7800,False
GOST Steel 20ChGNR GOST 4543-71 Quenching and cooling in the oil,1450,1400,213000,82000,0.3,7800,False
GOST Steel 40ChFA GOST 4543-71 Quenching and cooling in the oil,900,750,215000,83000,0.3,7810,False
GOST Steel 40ChFA GOST 4543-71 Quenching and cooling in the oil,1600,1300,215000,83000,0.3,7810,False
GOST Steel 30ChGS GOST 4543-71 ,1080,835,213000,82000,0.3,7850,False
GOST Steel 20ChN GOST 4543-71 ,780,590,200000,77000,0.3,7850,False
GOST Steel 40ChN GOST 4543-71 ,980,785,200000,77000,0.3,7850,False
GOST Steel 40ChN GOST 4543-71 normalized,780,460,200000,77000,0.3,7850,False
GOST Steel 40ChN GOST 4543-71 Quenching and cooling in the oil,1200,1000,200000,77000,0.3,7850,False
GOST Steel 45ChN GOST 4543-71 ,1030,835,200000,77000,0.3,7820,False
GOST Steel 50ChN GOST 4543-71 ,1080,885,200000,77000,0.3,7860,False
GOST Steel 30ChN3A GOST 4543-71 ,980,785,215000,83000,0.3,7850,False
GOST Steel 12ChN2 GOST 4543-71 Quenching and cooling in the oil,800,600,211000,82000,0.29,7880,False
"GOST Steel 12ChN2 GOST 4543-71 Case hardening,quenching and cooling in the oil",800,600,211000,82000,0.29,7880,False
GOST Steel 12ChN3A GOST 4543-71 Improved,950,700,200000,77000,0.3,7850,False
GOST Steel 12ChN3A GOST 4543-71 Quenching and heating,1000,850,200000,77000,0.3,7850,False
GOST Steel 20Ch2N4A GOST 4543-71 Quenching and heating,680,450,203000,78000,0.3,7850,False
"GOST Steel 20Ch2N4A GOST 4543-71 Case hardening,quenching and cooling in the oil",1100,850,203000,78000,0.3,7850,False
GOST Steel 20Ch2N4A GOST 4543-71 Quenching and cooling in the oil,1300,1100,203000,78000,0.3,7850,False
GOST Steel 30ChGS GOST 4543-71 Annealing,600,360,213000,82000,0.3,7850,False
GOST Steel 30ChGSA GOST 4543-71 Improved,1100,850,215000,83000,0.3,7850,False
GOST Steel 30ChGSA GOST 4543-71 Quenching and cooling in the oil,1500,1300,215000,83000,0.3,7850,False
GOST Steel 38Ch210 GOST 4543-71 Quenching and cooling in the oil,800,700,215000,83000,0.3,7850,False
GOST Steel 38ChA GOST 4543-71 Quenched and tempered,930,785,206000,80000,0.29,7860,False
GOST Steel 38Ch2MJuA GOST 4543-71 ,980,835,206000,80000,0.3,7860,False
GOST Steel 12MCh GOST 20072-74 ,410,235,212000,82000,0.29,7850,False
GOST Steel 12Ch1MF GOST 20072-74 ,470,255,198000,77000,0.29,7800,True
GOST Steel 20Ch1M1F1TR GOST 20072-74 ,780,665,200000,77000,0.3,7800,False
GOST Steel 20Ch1M1F1BR GOST 20072-74 ,780,665,200000,77000,0.3,7800,False
GOST Steel 25Ch1MF GOST 20072-74 ,880,735,213000,82000,0.3,7840,False
GOST Steel 25Ch1MF GOST 20072-74 ,780,665,213000,82000,0.3,7840,False
GOST Steel 18Ch3MV GOST 20072-74 ,640,440,200000,77000,0.3,7850,False
GOST Steel 20Ch3MVF GOST 20072-74 ,880,735,207000,80000,0.29,7800,False
GOST Steel 15Ch5 GOST 20072-74 ,390,165,215000,83000,0.3,7630,False
GOST Steel 15Ch5M GOST 20072-74 ,390,215,211000,82000,0.29,7750,False
GOST Steel 15Ch5VF GOST 20072-74 ,390,215,200000,77000,0.3,7850,False
GOST Steel 12Ch8VF GOST 20072-74 ,390,165,200000,77000,0.3,7850,False
GOST Steel 13Ch14N3V2FR GOST 5949-75 ,930,735,200000,77000,0.3,7850,False
GOST Steel 13Ch14N3V2FR GOST 5949-75 ,1130,885,200000,77000,0.3,7850,False
GOST Steel 10Ch11N23T3MR GOST 5949-75 ,880,590,200000,77000,0.3,8120,False
GOST Steel 10Ch11N23T3MR GOST 5949-75 ,980,685,200000,77000,0.3,8120,False
GOST Steel 12Ch18N10T GOST 5949-75 ,510,196,215000,83000,0.3,7630,False
GOST Steel 12Ch18N9T GOST 5949-75 ,540,196,195000,75000,0.3,7900,False
GOST Steel 12Ch18N12T GOST 5949-75 ,540,196,200000,77000,0.3,7850,False
GOST Steel 12Ch25N16G7AR GOST 5949-75 ,690,325,216000,84000,0.29,7670,False
GOST Steel 20 GOST 1577-93 normalized,475,230,206000,80000,0.29,7860,False
GOST Steel 20 GOST 1577-93 normalized,450,210,206000,80000,0.29,7860,False
GOST Steel 20 GOST 1577-93 Quenched and tempered,625,350,206000,80000,0.29,7860,False
GOST Steel 20 GOST 1577-93 Quenched and tempered,575,300,206000,80000,0.29,7860,False
GOST Steel 25 GOST 1577-93 normalized,495,260,206000,80000,0.29,7860,True
GOST Steel 25 GOST 1577-93 normalized,495,240,206000,80000,0.29,7860,False
GOST Steel 25 GOST 1577-93 normalized,475,220,206000,80000,0.29,7860,False
GOST Steel 25 GOST 1577-93 Quenched and tempered,625,370,206000,80000,0.29,7860,False
GOST Steel 25 GOST 1577-93 Quenched and tempered,575,320,206000,80000,0.29,7860,False
GOST Steel 30 GOST 1577-93 normalized,540,280,206000,80000,0.29,7860,False
GOST Steel 30 GOST 1577-93 normalized,540,250,206000,80000,0.29,7860,False
GOST Steel 30 GOST 1577-93 normalized,520,230,206000,80000,0.29,7860,False
GOST Steel 30 GOST 1577-93 Quenched and tempered,675,400,206000,80000,0.29,7860,False
GOST Steel 30 GOST 1577-93 Quenched and tempered,625,350,206000,80000,0.29,7860,False
GOST Steel 30 GOST 1577-93 Quenched and tempered,575,300,206000,80000,0.29,7860,False
GOST Steel 35 GOST 1577-93 normalized,575,300,206000,80000,0.29,7860,False
GOST Steel 35 GOST 1577-93 normalized,575,270,206000,80000,0.29,7860,False
GOST Steel 35 GOST 1577-93 normalized,555,245,206000,80000,0.29,7860,False
GOST Steel 35 GOST 1577-93 Quenched and tempered,705,430,206000,80000,0.29,7860,False
GOST Steel 35 GOST 1577-93 Quenched and tempered,675,370,206000,80000,0.29,7860,False
GOST Steel 35 GOST 1577-93 Quenched and tempered,625,320,206000,80000,0.29,7860,False
GOST Steel 40 GOST 1577-93 normalized,625,320,206000,80000,0.29,7860,False
GOST Steel 40 GOST 1577-93 normalized,625,290,206000,80000,0.29,7860,False
GOST Steel 40 GOST 1577-93 normalized,605,260,206000,80000,0.29,7860,False
GOST Steel 40 GOST 1577-93 Quenched and tempered,725,460,206000,80000,0.29,7860,False
GOST Steel 40 GOST 1577-93 Quenched and tempered,705,400,206000,80000,0.29,7860,False
GOST Steel 40 GOST 1577-93 Quenched and tempered,675,350,206000,80000,0.29,7860,False
GOST Steel 45 GOST 1577-93 normalized,675,340,206000,80000,0.29,7860,False
GOST Steel 45 GOST 1577-93 normalized,675,305,206000,80000,0.29,7860,False
GOST Steel 45 GOST 1577-93 normalized,655,275,206000,80000,0.29,7860,False
GOST Steel 45 GOST 1577-93 Quenched and tempered,775,500,206000,80000,0.29,7860,False
GOST Steel 45 GOST 1577-93 Quenched and tempered,725,430,206000,80000,0.29,7860,False
GOST Steel 45 GOST 1577-93 Quenched and tempered,705,370,206000,80000,0.29,7860,False
GOST Steel 50 GOST 1577-93 normalized,710,355,206000,80000,0.29,7860,False
GOST Steel 50 GOST 1577-93 normalized,710,320,206000,80000,0.29,7860,False
GOST Steel 50 GOST 1577-93 normalized,690,290,206000,80000,0.29,7860,False
GOST Steel 50 GOST 1577-93 Quenched and tempered,825,520,206000,80000,0.29,7860,False
GOST Steel 50 GOST 1577-93 Quenched and tempered,775,460,206000,80000,0.29,7860,False
GOST Steel 50 GOST 1577-93 Quenched and tempered,725,400,206000,80000,0.29,7860,False
GOST Steel 55 GOST 1577-93 normalized,750,370,206000,80000,0.29,7860,False
GOST Steel 55 GOST 1577-93 normalized,750,330,206000,80000,0.29,7860,False
GOST Steel 55 GOST 1577-93 normalized,730,300,206000,80000,0.29,7860,False
GOST Steel 55 GOST 1577-93 Quenched and tempered,875,550,206000,80000,0.29,7860,False
GOST Steel 55 GOST 1577-93 Quenched and tempered,825,500,206000,80000,0.29,7860,False
GOST Steel 55 GOST 1577-93 Quenched and tempered,775,430,206000,80000,0.29,7860,False
GOST Steel 60 GOST 1577-93 normalized,785,380,206000,80000,0.29,7860,False
GOST Steel 60 GOST 1577-93 normalized,785,340,206000,80000,0.29,7860,False
GOST Steel 60 GOST 1577-93 normalized,755,310,206000,80000,0.29,7860,False
GOST Steel 60 GOST 1577-93 Quenched and tempered,925,580,206000,80000,0.29,7860,False
GOST Steel 60 GOST 1577-93 Quenched and tempered,875,520,206000,80000,0.29,7860,False
GOST Steel 60 GOST 1577-93 Quenched and tempered,825,450,206000,80000,0.29,7860,False
GOST Steel 30Ch GOST 1577-93 Quenched and tempered,925,650,206000,80000,0.29,7860,False
GOST Steel 30Ch GOST 1577-93 Quenched and tempered,825,550,206000,80000,0.29,7860,False
GOST Steel 30Ch GOST 1577-93 Quenched and tempered,725,410,206000,80000,0.29,7860,False
GOST Steel 38ChA GOST 1577-93 Quenched and tempered,1050,750,206000,80000,0.29,7860,False
GOST Steel 38ChA GOST 1577-93 Quenched and tempered,925,630,206000,80000,0.29,7860,False
GOST Steel 38ChA GOST 1577-93 Quenched and tempered,825,510,206000,80000,0.29,7860,False
GOST Steel 40Ch GOST 1577-93 Quenched and tempered,1100,800,206000,80000,0.29,7860,False
GOST Steel 40Ch GOST 1577-93 Quenched and tempered,1000,660,206000,80000,0.29,7860,False
GOST Steel 40Ch GOST 1577-93 Quenched and tempered,875,560,206000,80000,0.29,7860,False
GOST Steel 15L GOST 977-88 normalized,392,196,200000,77000,0.3,7820,False
GOST Steel 20L GOST 977-88 normalized,412,216,200000,77000,0.3,7820,False
GOST Steel 25L GOST 977-88 normalized,441,235,205000,79000,0.3,7830,False
GOST Steel 30L GOST 977-88 normalized,471,255,210000,81000,0.3,7810,True
GOST Steel 35L GOST 977-88 normalized,491,275,212000,82000,0.29,7830,True
GOST Steel 40L GOST 977-88 normalized,520,294,215000,83000,0.3,7810,False
GOST Steel 45L GOST 977-88 normalized,540,314,215000,83000,0.3,7800,False
GOST Steel 50L GOST 977-88 normalized,569,334,219000,85000,0.29,7820,False
GOST Steel 20GL GOST 977-88 normalized,540,275,200000,77000,0.3,7820,False
GOST Steel 35GL GOST 977-88 normalized,540,294,200000,77000,0.3,7820,False
GOST Steel 35GL GOST 977-88 Quenching and cooling in the water,589,343,200000,77000,0.3,7820,False
GOST Steel 20GSL GOST 977-88 normalized,540,294,200000,77000,0.3,7820,False
GOST Steel 30GSL GOST 977-88 normalized,589,343,200000,77000,0.3,7820,False
GOST Steel 30GSL GOST 977-88 Quenching and cooling in the water,638,392,200000,77000,0.3,7820,False
GOST Steel 20G1FL GOST 977-88 normalized,510,314,200000,77000,0.3,7820,False
GOST Steel 20FL GOST 977-88 normalized,491,294,200000,77000,0.3,7820,True
GOST Steel 30ChGSFL GOST 977-88 normalized,589,392,200000,77000,0.3,7820,False
GOST Steel 45FL GOST 977-88 normalized,589,392,200000,77000,0.3,7820,False
GOST Steel 20ChML GOST 977-88 normalized,441,245,215000,83000,0.3,7800,False
GOST Steel 20ChMFL GOST 977-88 normalized,491,275,200000,77000,0.3,7820,True
GOST Steel 20GNMFL GOST 977-88 normalized,589,491,200000,77000,0.3,7820,False
GOST Steel 35ChML GOST 977-88 normalized,589,392,215000,83000,0.3,7840,False
GOST Steel 30ChNML GOST 977-88 normalized,687,540,200000,77000,0.3,7820,False
GOST Steel 35ChGSL GOST 977-88 normalized,589,343,215000,83000,0.3,7800,False
GOST Steel 35ChGSL GOST 977-88 Quenching and cooling in the water,785,589,215000,83000,0.3,7800,False
GOST Steel 20DChL GOST 977-88 normalized,491,392,200000,77000,0.3,7820,False
GOST Steel 08GDNFL GOST 977-88 normalized,441,343,212000,82000,0.29,7820,True
GOST Steel 13ChNDFTL GOST 977-88 normalized,491,392,200000,77000,0.3,7820,False
GOST Steel 12DN2FL GOST 977-88 normalized,638,540,200000,77000,0.3,7820,False
GOST Steel 25L GOST 977-88 Quenched and tempered,491,294,205000,79000,0.3,7830,True
GOST Steel 30L GOST 977-88 Quenched and tempered,491,294,205000,79000,0.3,7810,True
GOST Steel 35L GOST 977-88 Quenched and tempered,540,343,205000,79000,0.3,7830,False
GOST Steel 40L GOST 977-88 Quenched and tempered,540,343,205000,79000,0.3,7810,False
GOST Steel 45L GOST 977-88 Quenched and tempered,589,392,205000,79000,0.3,7800,False
GOST Steel 50L GOST 977-88 Quenched and tempered,736,392,205000,79000,0.3,7820,False
GOST Steel 20GL GOST 977-88 Quenched and tempered,530,334,205000,79000,0.3,7820,False
GOST Steel 35GL GOST 977-88 Quenched and tempered,589,343,200000,77000,0.3,7820,False
GOST Steel 30GSL GOST 977-88 Quenched and tempered,638,392,200000,77000,0.3,7820,False
GOST Steel 30ChGSFL GOST 977-88 Quenched and tempered,785,589,200000,77000,0.3,7820,False
GOST Steel 30ChGSFL GOST 977-88 Quenched and tempered,687,491,200000,77000,0.3,7820,False
GOST Steel 45FL GOST 977-88 Quenched and tempered,638,441,200000,77000,0.3,7820,False
GOST Steel 32Ch06L GOST 977-88 Quenched and tempered,638,491,205000,79000,0.3,7850,False
GOST Steel 20GNMFL GOST 977-88 Quenched and tempered,687,589,200000,77000,0.3,7820,False
GOST Steel 35ChML GOST 977-88 Quenched and tempered,687,540,205000,79000,0.3,7840,False
GOST Steel 30ChNML GOST 977-88 Quenched and tempered,785,638,205000,79000,0.3,7820,False
GOST Steel 35ChGSL GOST 977-88 Quenched and tempered,785,589,205000,79000,0.3,7800,False
GOST Steel 35NGML GOST 977-88 Quenched and tempered,736,589,200000,77000,0.3,7820,False
GOST Steel 20DChL GOST 977-88 Quenched and tempered,638,540,200000,77000,0.3,7820,False
GOST Steel 12DN2FL GOST 977-88 Quenched and tempered,785,638,200000,77000,0.3,7820,False
GOST Steel 12DChN1MFL GOST 977-88 Quenched and tempered,981,735,200000,77000,0.3,7820,False
GOST Steel 23ChGS2MFL GOST 977-88 Quenched and tempered,1275,1079,200000,77000,0.3,7820,False
GOST Steel 12Ch7G3SL GOST 977-88 Quenched and tempered,1324,1079,200000,77000,0.3,7820,False
GOST Steel 25Ch2GNMFL1 GOST 977-88 Quenched and tempered,638,491,200000,77000,0.3,7820,False
GOST Steel 25Ch2GNMFL2 GOST 977-88 Quenched and tempered,1275,1079,200000,77000,0.3,7820,False
GOST Steel 27Ch5GSML GOST 977-88 Quenched and tempered,1472,1177,200000,77000,0.3,7820,False
GOST Steel 30Ch3S3GML GOST 977-88 Quenched and tempered,1766,1472,200000,77000,0.3,7820,False
GOST Steel 03N12Ch5M3TL GOST 977-88 Quenched and tempered,1324,1275,200000,77000,0.3,7820,False
GOST Steel 03N12Ch5M3TJuL GOST 977-88 Quenched and tempered,1472,1422,200000,77000,0.3,7820,False
GOST Steel 40ChL GOST 977-88 Quenching and cooling in the oil,638,491,219000,85000,0.29,7840,False
GOST Steel 50ChFA GOST 14959-79 heat treated,1270,1080,206000,80000,0.3,7860,False
GOST Steel 55S2 GOST 14959-79 heat treated,1270,1175,206000,80000,0.3,7860,False
GOST Steel 50ChGA GOST 14959-79 heat treated,1270,1175,206000,80000,0.3,7860,False
GOST Steel 50ChGFA GOST 14959-79 heat treated,1420,1325,206000,80000,0.3,7860,False
GOST Grey cast iron 10 GOST1412-85 ,100,50,90000,36000,0.25,6800,False
GOST Grey cast iron 15 GOST1412-85 ,150,75,90000,36000,0.25,7000,False
GOST Grey cast iron 18 GOST1412-85 ,180,90,95000,38000,0.25,7050,False
GOST Grey cast iron 20 GOST1412-85 ,200,100,100000,40000,0.25,7100,False
GOST Grey cast iron 21 GOST1412-85 ,210,105,100000,40000,0.25,7150,False
GOST Grey cast iron 24 GOST1412-85 ,240,120,105000,42000,0.25,7200,False
GOST Grey cast iron 25 GOST1412-85 ,250,125,110000,44000,0.25,7200,False
GOST Grey cast iron 30 GOST1412-85 ,300,150,120000,48000,0.25,7300,False
GOST Grey cast iron 35 GOST1412-85 ,350,175,125000,50000,0.25,7400,False
GOST Nodular cast iron 35 GOST7293-85 ,350,220,170000,70000,0.21,7160,False
GOST Nodular cast iron 40 GOST7293-85 ,400,250,170000,70000,0.21,7160,False
GOST Nodular cast iron 45 GOST7293-85 ,450,310,170000,70000,0.21,7160,False
GOST Nodular cast iron 50 GOST7293-85 ,500,320,170000,70000,0.21,7160,False
GOST Nodular cast iron 60 GOST7293-85 ,600,370,180000,75000,0.2,7160,False
GOST Nodular cast iron 70 GOST7293-85 ,700,420,180000,75000,0.2,7160,False
GOST Nodular cast iron 80 GOST7293-85 ,800,480,180000,75000,0.2,7160,False
GOST Nodular cast iron 100 GOST7293-85 ,1000,700,185000,77000,0.2,7160,False
GOST Malleable cast iron 30-6 ,294,170,160000,64000,0.25,7160,False
GOST Malleable cast iron 33-8 ,323,190,160000,64000,0.25,7160,False
GOST Malleable cast iron 35-10 ,333,190,160000,64000,0.25,7160,False
GOST Malleable cast iron 37-12 ,362,210,160000,64000,0.25,7160,False
GOST Malleable cast iron 45-7 ,441,260,160000,64000,0.25,7160,False
GOST Malleable cast iron 50-5 ,490,290,160000,64000,0.25,7160,False
GOST Malleable cast iron 55-4 ,539,325,160000,64000,0.25,7160,False
GOST Malleable cast iron 60-3 ,588,350,160000,64000,0.25,7160,False
GOST Malleable cast iron 65-3 ,637,380,160000,64000,0.25,7160,False
GOST Malleable cast iron 70-2 ,686,410,160000,64000,0.25,7160,False
GOST Malleable cast iron 80-1.5 ,784,470,160000,64000,0.25,7160,False
GOST Malleable cast iron 40 ,400,180,160000,64000,0.25,7160,False
NF NF 13MF4 ,360,240,206000,80000,0.3,7860,False
NF NF 35MF6 ,630,370,206000,80000,0.3,7860,False
NF NF XE ,270,180,206000,80000,0.3,7860,False
NF NF ZE ,270,240,206000,80000,0.3,7860,False
NF NF ZES ,270,225,206000,80000,0.3,7860,False
NF NF A34-2 ,330,155,206000,80000,0.3,7860,False
NF NF A37CP ,360,235,206000,80000,0.3,7860,False
NF NF A42CP ,410,255,206000,80000,0.3,7860,True
NF NF E24-2 ,340,215,206000,80000,0.3,7860,False
NF NF E24-3 ,340,215,206000,80000,0.3,7860,False
NF NF E28-2 ,400,275,206000,80000,0.3,7860,True
NF NF E28-4 ,400,255,206000,80000,0.3,7860,True
NF NF A50-2 ,490,295,206000,80000,0.3,7860,True
NF NF E36-3 ,490,355,206000,80000,0.3,7860,True
NF NF E36-4 ,490,355,206000,80000,0.3,7860,True
NF NF A60-2 ,590,335,206000,80000,0.3,7860,False
NF NF A70-2 ,690,365,206000,80000,0.3,7860,False
NF NF XC10 ,490,350,206000,80000,0.3,7860,True
NF NF XC12 ,690,500,206000,80000,0.3,7860,False
NF NF XC18 ,440,270,206000,80000,0.3,7860,True
NF NF XC25 ,490,305,206000,80000,0.3,7860,True
NF NF XC32 ,570,365,206000,80000,0.3,7860,False
NF NF XC38H1 ,630,400,206000,80000,0.3,7860,False
NF NF XC42TS ,670,430,206000,80000,0.3,7860,False
NF NF XC42H1 ,670,430,206000,80000,0.3,7860,False
NF NF XC48H1 heat treated,710,460,206000,80000,0.3,7860,False
NF NF XC42TS ,670,430,206000,80000,0.3,7860,False
NF NF XC55H1 ,750,490,206000,80000,0.3,7860,False
NF NF 52M4TS ,710,410,206000,80000,0.3,7860,False
NF NF XC55H1 ,750,490,206000,80000,0.3,7860,False
NF NF A48CP ,470,290,206000,80000,0.3,7860,True
NF NF 35M5 ,670,500,206000,80000,0.3,7860,False
NF NF 51S7 heat treated,1500,1350,206000,80000,0.3,7860,False
NF NF 32C4 ,780,590,206000,80000,0.3,7860,False
NF NF 38C4 ,830,620,206000,80000,0.3,7860,False
NF NF 42C4 ,880,600,206000,80000,0.3,7860,False
NF NF 35CD4TS ,880,715,206000,80000,0.3,7860,False
NF NF 42C4TS ,880,685,206000,80000,0.3,7860,False
NF NF 16MC5 case-hardened,980,700,206000,80000,0.3,7860,False
NF NF 20MC5 case-hardened,1200,850,206000,80000,0.3,7860,False
NF NF 55C3 heat treated,1370,1180,206000,80000,0.3,7860,False
